Model,Question Number,Question Score,Answer Score,,,6,Question Score,Answer Score
No Agent,1,1,3,,,,mean,mean
No Agent,2,3,2,,,Model,,
No Agent,3,3,2,,,Full Model,3.8,4.055555556
No Agent,4,1,3,,,No Agent,1.922222222,2.044444444
No Agent,5,3,2,,,No Evaluation & Refinement,2.977777778,3.022222222
No Agent,6,3,2,,,Full Model(llama3-3B),3.988888889,3.933333333
No Agent,7,3,2,,,mean,3.172222222,3.263888889
No Agent,8,2,2,,,,,
No Agent,9,3,1,,,,,
No Agent,10,3,1,,,,,
No Agent,11,1,2,,,,,
No Agent,12,1,2,,,,,
No Agent,13,1,3,,,,,
No Agent,14,3,2,,,,,
No Agent,15,3,1,,,,,
No Agent,16,2,1,,,,,
No Agent,17,2,2,,,,,
No Agent,18,1,2,,,,,
No Agent,19,1,2,,,,,
No Agent,20,2,2,,,,,
No Agent,21,1,2,,,,,
No Agent,22,2,1,,,,,
No Agent,23,3,1,,,,,
No Agent,24,3,3,,,,,
No Agent,25,2,2,,,,,
No Agent,26,1,1,,,,,
No Agent,27,1,1,,,,,
No Agent,28,3,2,,,,,
No Agent,29,1,3,,,,,
No Agent,30,1,1,,,,,
No Agent,31,1,2,,,,,
No Agent,32,2,3,,,,,
No Agent,33,1,1,,,,,
No Agent,34,1,3,,,,,
No Agent,35,1,1,,,,,
No Agent,36,1,2,,,,,
No Agent,37,2,1,,,,,
No Agent,38,1,3,,,,,
No Agent,39,1,2,,,,,
No Agent,40,2,1,,,,,
No Agent,41,1,1,,,,,
No Agent,42,3,1,,,,,
No Agent,43,3,3,,,,,
No Agent,44,1,1,,,,,
No Agent,45,3,3,,,,,
No Agent,46,2,2,,,,,
No Agent,47,1,3,,,,,
No Agent,48,1,1,,,,,
No Agent,49,3,2,,,,,
No Agent,50,2,3,,,,,
No Agent,51,3,3,,,,,
No Agent,52,3,3,,,,,
No Agent,53,1,2,,,,,
No Agent,54,2,3,,,,,
No Agent,55,2,2,,,,,
No Agent,56,1,2,,,,,
No Agent,57,1,3,,,,,
No Agent,58,1,2,,,,,
No Agent,59,1,2,,,,,
No Agent,60,2,3,,,,,
No Agent,61,3,2,,,,,
No Agent,62,3,1,,,,,
No Agent,63,2,1,,,,,
No Agent,64,2,1,,,,,
No Agent,65,2,2,,,,,
No Agent,66,3,3,,,,,
No Agent,67,2,3,,,,,
No Agent,68,1,2,,,,,
No Agent,69,3,3,,,,,
No Agent,70,3,2,,,,,
No Agent,71,1,3,,,,,
No Agent,72,1,3,,,,,
No Agent,73,1,3,,,,,
No Agent,74,1,3,,,,,
No Agent,75,2,2,,,,,
No Agent,76,1,2,,,,,
No Agent,77,3,3,,,,,
No Agent,78,3,3,,,,,
No Agent,79,3,1,,,,,
No Agent,80,1,3,,,,,
No Agent,81,3,1,,,,,
No Agent,82,3,2,,,,,
No Agent,83,3,2,,,,,
No Agent,84,2,2,,,,,
No Agent,85,1,2,,,,,
No Agent,86,2,2,,,,,
No Agent,87,1,2,,,,,
No Agent,88,3,2,,,,,
No Agent,89,1,1,,,,,
No Agent,90,3,2,,,,,
No Evaluation & Refinement,1,4,4,,,,,
No Evaluation & Refinement,2,4,2,,,,,
No Evaluation & Refinement,3,3,4,,,,,
No Evaluation & Refinement,4,4,2,,,,,
No Evaluation & Refinement,5,4,4,,,,,
No Evaluation & Refinement,6,3,3,,,,,
No Evaluation & Refinement,7,3,3,,,,,
No Evaluation & Refinement,8,4,3,,,,,
No Evaluation & Refinement,9,3,3,,,,,
No Evaluation & Refinement,10,4,3,,,,,
No Evaluation & Refinement,11,2,2,,,,,
No Evaluation & Refinement,12,2,2,,,,,
No Evaluation & Refinement,13,3,4,,,,,
No Evaluation & Refinement,14,2,4,,,,,
No Evaluation & Refinement,15,4,4,,,,,
No Evaluation & Refinement,16,3,4,,,,,
No Evaluation & Refinement,17,2,3,,,,,
No Evaluation & Refinement,18,3,4,,,,,
No Evaluation & Refinement,19,3,2,,,,,
No Evaluation & Refinement,20,2,4,,,,,
No Evaluation & Refinement,21,4,2,,,,,
No Evaluation & Refinement,22,2,3,,,,,
No Evaluation & Refinement,23,3,2,,,,,
No Evaluation & Refinement,24,3,4,,,,,
No Evaluation & Refinement,25,3,2,,,,,
No Evaluation & Refinement,26,4,3,,,,,
