Model,Question Number,Question Score,Answer Score,,,3,Question Score,Answer Score
No Agent,1,3,1,,,,mean,mean
No Agent,2,3,1,,,Model,,
No Agent,3,2,3,,,Full Model,4.022222222,3.944444444
No Agent,4,3,3,,,No Agent,1.911111111,1.866666667
No Agent,5,1,1,,,No Evaluation & Refinement,2.922222222,2.977777778
No Agent,6,1,3,,,Full Model(llama3-3B),3.666666667,2.766666667
No Agent,7,2,3,,,mean,3.130555556,2.888888889
No Agent,8,3,3,,,,,
No Agent,9,2,3,,,,,
No Agent,10,3,3,,,,,
No Agent,11,2,2,,,,,
No Agent,12,1,1,,,,,
No Agent,13,3,3,,,,,
No Agent,14,2,3,,,,,
No Agent,15,3,2,,,,,
No Agent,16,2,1,,,,,
No Agent,17,1,1,,,,,
No Agent,18,2,2,,,,,
No Agent,19,1,3,,,,,
No Agent,20,2,1,,,,,
No Agent,21,2,1,,,,,
No Agent,22,2,2,,,,,
No Agent,23,2,2,,,,,
No Agent,24,3,2,,,,,
No Agent,25,2,1,,,,,
No Agent,26,2,3,,,,,
No Agent,27,2,2,,,,,
No Agent,28,3,1,,,,,
No Agent,29,3,1,,,,,
No Agent,30,2,2,,,,,
No Agent,31,1,3,,,,,
No Agent,32,1,2,,,,,
No Agent,33,1,3,,,,,
No Agent,34,3,1,,,,,
No Agent,35,2,1,,,,,
No Agent,36,3,1,,,,,
No Agent,37,1,1,,,,,
No Agent,38,2,1,,,,,
No Agent,39,2,1,,,,,
No Agent,40,2,3,,,,,
No Agent,41,1,2,,,,,
No Agent,42,1,1,,,,,
No Agent,43,1,3,,,,,
No Agent,44,1,2,,,,,
No Agent,45,3,1,,,,,
No Agent,46,3,3,,,,,
No Agent,47,1,1,,,,,
No Agent,48,2,1,,,,,
No Agent,49,2,1,,,,,
No Agent,50,2,2,,,,,
No Agent,51,1,2,,,,,
No Agent,52,3,2,,,,,
No Agent,53,1,1,,,,,
No Agent,54,2,2,,,,,
No Agent,55,3,1,,,,,
No Agent,56,1,1,,,,,
No Agent,57,3,2,,,,,
No Agent,58,3,2,,,,,
No Agent,59,1,3,,,,,
No Agent,60,1,3,,,,,
No Agent,61,1,3,,,,,
No Agent,62,3,3,,,,,
No Agent,63,1,1,,,,,
No Agent,64,1,2,,,,,
No Agent,65,1,2,,,,,
No Agent,66,2,1,,,,,
No Agent,67,1,3,,,,,
No Agent,68,3,2,,,,,
No Agent,69,3,1,,,,,
No Agent,70,2,1,,,,,
No Agent,71,3,3,,,,,
No Agent,72,1,2,,,,,
No Agent,73,1,3,,,,,
No Agent,74,1,2,,,,,
No Agent,75,1,1,,,,,
No Agent,76,2,1,,,,,
No Agent,77,3,1,,,,,
No Agent,78,1,2,,,,,
No Agent,79,1,2,,,,,
No Agent,80,1,1,,,,,
No Agent,81,2,3,,,,,
No Agent,82,3,1,,,,,
No Agent,83,2,2,,,,,
No Agent,84,3,3,,,,,
No Agent,85,1,1,,,,,
No Agent,86,2,1,,,,,
No Agent,87,1,3,,,,,
No Agent,88,2,1,,,,,
No Agent,89,2,1,,,,,
No Agent,90,2,2,,,,,
No Evaluation & Refinement,1,3,2,,,,,
No Evaluation & Refinement,2,4,2,,,,,
No Evaluation & Refinement,3,4,4,,,,,
No Evaluation & Refinement,4,3,3,,,,,
No Evaluation & Refinement,5,3,4,,,,,
No Evaluation & Refinement,6,4,4,,,,,
No Evaluation & Refinement,7,4,3,,,,,
No Evaluation & Refinement,8,4,4,,,,,
No Evaluation & Refinement,9,3,4,,,,,
No Evaluation & Refinement,10,2,3,,,,,
No Evaluation & Refinement,11,3,2,,,,,
No Evaluation & Refinement,12,2,2,,,,,
No Evaluation & Refinement,13,3,4,,,,,
No Evaluation & Refinement,14,3,4,,,,,
No Evaluation & Refinement,15,4,2,,,,,
No Evaluation & Refinement,16,2,4,,,,,
No Evaluation & Refinement,17,4,2,,,,,
No Evaluation & Refinement,18,3,2,,,,,
No Evaluation & Refinement,19,2,2,,,,,
No Evaluation & Refinement,20,2,3,,,,,
No Evaluation & Refinement,21,3,4,,,,,
No Evaluation & Refinement,22,4,2,,,,,
No Evaluation & Refinement,23,3,3,,,,,
No Evaluation & Refinement,24,4,3,,,,,
No Evaluation & Refinement,25,2,3,,,,,
