Model,Question Number,Question Score,Answer Score,,,1,Question Score,Answer Score
No Agent,1,3,3,,,,mean,mean
No Agent,2,2,2,,,Model,,
No Agent,3,1,1,,,Full Model,3.944444444,4
No Agent,4,2,1,,,No Agent,2.066666667,1.911111111
No Agent,5,3,2,,,No Evaluation & Refinement,2.944444444,3.088888889
No Agent,6,3,3,,,Full Model(llama3-3B),3.755555556,2.755555556
No Agent,7,3,2,,,mean,3.177777778,2.938888889
No Agent,8,1,1,,,,,
No Agent,9,1,1,,,,,
No Agent,10,3,1,,,,,
No Agent,11,2,2,,,,,
No Agent,12,2,3,,,,,
No Agent,13,1,2,,,,,
No Agent,14,3,1,,,,,
No Agent,15,3,1,,,,,
No Agent,16,2,3,,,,,
No Agent,17,3,2,,,,,
No Agent,18,1,3,,,,,
No Agent,19,2,3,,,,,
No Agent,20,3,2,,,,,
No Agent,21,3,3,,,,,
No Agent,22,2,1,,,,,
No Agent,23,1,1,,,,,
No Agent,24,2,2,,,,,
No Agent,25,3,1,,,,,
No Agent,26,2,2,,,,,
No Agent,27,3,3,,,,,
No Agent,28,1,2,,,,,
No Agent,29,2,2,,,,,
No Agent,30,3,2,,,,,
No Agent,31,1,1,,,,,
No Agent,32,3,1,,,,,
No Agent,33,3,1,,,,,
No Agent,34,2,2,,,,,
No Agent,35,3,2,,,,,
No Agent,36,2,2,,,,,
No Agent,37,1,2,,,,,
No Agent,38,2,1,,,,,
No Agent,39,2,3,,,,,
No Agent,40,2,1,,,,,
No Agent,41,2,1,,,,,
No Agent,42,2,3,,,,,
No Agent,43,1,3,,,,,
No Agent,44,3,1,,,,,
No Agent,45,3,3,,,,,
No Agent,46,3,1,,,,,
No Agent,47,3,3,,,,,
No Agent,48,2,3,,,,,
No Agent,49,1,1,,,,,
No Agent,50,3,3,,,,,
No Agent,51,1,1,,,,,
No Agent,52,3,1,,,,,
No Agent,53,2,3,,,,,
No Agent,54,1,3,,,,,
No Agent,55,3,2,,,,,
No Agent,56,2,3,,,,,
No Agent,57,3,1,,,,,
No Agent,58,3,2,,,,,
No Agent,59,2,3,,,,,
No Agent,60,1,1,,,,,
No Agent,61,2,3,,,,,
No Agent,62,1,2,,,,,
No Agent,63,2,2,,,,,
No Agent,64,3,2,,,,,
No Agent,65,2,1,,,,,
No Agent,66,2,2,,,,,
No Agent,67,2,2,,,,,
No Agent,68,2,2,,,,,
No Agent,69,2,1,,,,,
No Agent,70,1,3,,,,,
No Agent,71,1,1,,,,,
No Agent,72,1,1,,,,,
No Agent,73,2,2,,,,,
No Agent,74,3,3,,,,,
No Agent,75,2,1,,,,,
No Agent,76,3,2,,,,,
No Agent,77,1,3,,,,,
No Agent,78,3,1,,,,,
No Agent,79,2,1,,,,,
No Agent,80,3,1,,,,,
No Agent,81,2,2,,,,,
No Agent,82,1,3,,,,,
No Agent,83,1,1,,,,,
No Agent,84,3,2,,,,,
No Agent,85,1,3,,,,,
No Agent,86,2,3,,,,,
No Agent,87,2,2,,,,,
No Agent,88,1,1,,,,,
No Agent,89,1,1,,,,,
No Agent,90,1,2,,,,,
No Evaluation & Refinement,1,3,2,,,,,
No Evaluation & Refinement,2,3,2,,,,,
No Evaluation & Refinement,3,4,2,,,,,
No Evaluation & Refinement,4,4,2,,,,,
No Evaluation & Refinement,5,2,2,,,,,
No Evaluation & Refinement,6,3,4,,,,,
No Evaluation & Refinement,7,4,3,,,,,
No Evaluation & Refinement,8,3,3,,,,,
No Evaluation & Refinement,9,2,3,,,,,
No Evaluation & Refinement,10,2,3,,,,,
No Evaluation & Refinement,11,4,2,,,,,
No Evaluation & Refinement,12,2,4,,,,,
No Evaluation & Refinement,13,3,2,,,,,
No Evaluation & Refinement,14,2,4,,,,,
No Evaluation & Refinement,15,3,4,,,,,
No Evaluation & Refinement,16,4,2,,,,,
No Evaluation & Refinement,17,2,2,,,,,
No Evaluation & Refinement,18,3,4,,,,,
No Evaluation & Refinement,19,4,2,,,,,
No Evaluation & Refinement,20,2,2,,,,,
No Evaluation & Refinement,21,2,2,,,,,
No Evaluation & Refinement,22,3,4,,,,,
No Evaluation & Refinement,23,2,4,,,,,
No Evaluation & Refinement,24,2,3,,,,,
No Evaluation & Refinement,25,2,3,,,,,
No Evaluation & Refinement,26,2,4,,,,,
No Evaluation & Refinement,27,3,4,,,,,
No Evaluation & Refinement,28,2,3,,,,,
No Evaluation & Refinement,29,2,2,,,,,
No Evaluation & Refinement,30,2,4,,,,,
No Evaluation & Refinement,31,4,4,,,,,
No Evaluation & Refinement,32,4,4,,,,,
No Evaluation & Refinement,33,3,3,,,,,
No Evaluation & Refinement,34,3,4,,,,,
No Evaluation & Refinement,35,4,3,,,,,
No Evaluation & Refinement,36,4,2,,,,,
No Evaluation & Refinement,37,2,3,,,,,
No Evaluation & Refinement,38,4,4,,,,,
No Evaluation & Refinement,39,3,4,,,,,
No Evaluation & Refinement,40,2,2,,,,,
No Evaluation & Refinement,41,2,4,,,,,
No Evaluation & Refinement,42,3,2,,,,,
No Evaluation & Refinement,43,2,2,,,,,
No Evaluation & Refinement,44,3,3,,,,,
No Evaluation & Refinement,45,4,4,,,,,
No Evaluation & Refinement,46,2,2,,,,,
No Evaluation & Refinement,47,3,4,,,,,
No Evaluation & Refinement,48,2,2,,,,,
No Evaluation & Refinement,49,3,3,,,,,
No Evaluation & Refinement,50,3,4,,,,,
No Evaluation & Refinement,51,3,4,,,,,
No Evaluation & Refinement,52,4,2,,,,,
No Evaluation & Refinement,53,2,3,,,,,
No Evaluation & Refinement,54,3,4,,,,,
No Evaluation & Refinement,55,4,3,,,,,
No Evaluation & Refinement,56,2,4,,,,,
No Evaluation & Refinement,57,2,4,,,,,
No Evaluation & Refinement,58,4,4,,,,,
No Evaluation & Refinement,59,4,2,,,,,
No Evaluation & Refinement,60,2,2,,,,,
No Evaluation & Refinement,61,3,3,,,,,
No Evaluation & Refinement,62,3,3,,,,,
No Evaluation & Refinement,63,3,3,,,,,
No Evaluation & Refinement,64,3,2,,,,,
No Evaluation & Refinement,65,4,4,,,,,
No Evaluation & Refinement,66,2,4,,,,,
No Evaluation & Refinement,67,2,2,,,,,
No Evaluation & Refinement,68,4,2,,,,,
No Evaluation & Refinement,69,3,4,,,,,
No Evaluation & Refinement,70,4,3,,,,,
No Evaluation & Refinement,71,3,4,,,,,
No Evaluation & Refinement,72,2,3,,,,,
No Evaluation & Refinement,73,3,4,,,,,
No Evaluation & Refinement,74,2,4,,,,,
No Evaluation & Refinement,75,4,2,,,,,
No Evaluation & Refinement,76,2,3,,,,,
No Evaluation & Refinement,77,4,2,,,,,
No Evaluation & Refinement,78,4,4,,,,,
No Evaluation & Refinement,79,4,3,,,,,
No Evaluation & Refinement,80,4,4,,,,,
No Evaluation & Refinement,81,4,4,,,,,
No Evaluation & Refinement,82,3,2,,,,,
No Evaluation & Refinement,83,3,4,,,,,
