Model,Question Number,Question Score,Answer Score,,,5,Question Score,Answer Score
No Agent,1,1,2,,,,mean,mean
No Agent,2,3,3,,,Model,,
No Agent,3,2,1,,,Full Model,4.144444444,3.988888889
No Agent,4,1,1,,,No Agent,1.966666667,1.966666667
No Agent,5,1,2,,,No Evaluation & Refinement,2.966666667,2.877777778
No Agent,6,3,3,,,Full Model(llama3-3B),3.722222222,2.766666667
No Agent,7,2,3,,,mean,3.2,2.9
No Agent,8,2,1,,,,,
No Agent,9,3,3,,,,,
No Agent,10,1,1,,,,,
No Agent,11,2,2,,,,,
No Agent,12,1,3,,,,,
No Agent,13,3,2,,,,,
No Agent,14,3,3,,,,,
No Agent,15,2,2,,,,,
No Agent,16,3,3,,,,,
No Agent,17,1,3,,,,,
No Agent,18,2,3,,,,,
No Agent,19,1,3,,,,,
No Agent,20,1,2,,,,,
No Agent,21,2,1,,,,,
No Agent,22,1,3,,,,,
No Agent,23,2,2,,,,,
No Agent,24,3,2,,,,,
No Agent,25,1,3,,,,,
No Agent,26,3,3,,,,,
No Agent,27,3,2,,,,,
No Agent,28,1,1,,,,,
No Agent,29,1,1,,,,,
No Agent,30,1,2,,,,,
No Agent,31,1,3,,,,,
No Agent,32,2,3,,,,,
No Agent,33,2,1,,,,,
No Agent,34,2,1,,,,,
No Agent,35,3,3,,,,,
No Agent,36,1,2,,,,,
No Agent,37,2,1,,,,,
No Agent,38,1,2,,,,,
No Agent,39,1,2,,,,,
No Agent,40,3,1,,,,,
No Agent,41,2,3,,,,,
No Agent,42,1,2,,,,,
No Agent,43,1,1,,,,,
No Agent,44,1,1,,,,,
No Agent,45,2,3,,,,,
No Agent,46,2,2,,,,,
No Agent,47,3,1,,,,,
No Agent,48,3,3,,,,,
No Agent,49,2,1,,,,,
No Agent,50,2,2,,,,,
No Agent,51,1,1,,,,,
No Agent,52,3,1,,,,,
No Agent,53,1,1,,,,,
No Agent,54,2,2,,,,,
No Agent,55,2,2,,,,,
No Agent,56,3,2,,,,,
No Agent,57,2,1,,,,,
No Agent,58,2,1,,,,,
No Agent,59,3,2,,,,,
No Agent,60,3,3,,,,,
No Agent,61,2,3,,,,,
No Agent,62,3,1,,,,,
No Agent,63,2,2,,,,,
No Agent,64,2,2,,,,,
No Agent,65,2,2,,,,,
No Agent,66,3,1,,,,,
No Agent,67,3,3,,,,,
No Agent,68,1,2,,,,,
No Agent,69,1,2,,,,,
No Agent,70,1,1,,,,,
No Agent,71,1,3,,,,,
No Agent,72,1,1,,,,,
No Agent,73,2,1,,,,,
