Model,Question Number,Question Score,Answer Score,,,8,Question Score,Answer Score
No Agent,1,3,2,,,,mean,mean
No Agent,2,1,1,,,Model,,
No Agent,3,2,1,,,Full Model,3.966666667,3.944444444
No Agent,4,3,2,,,No Agent,2.011111111,2.011111111
No Agent,5,1,2,,,No Evaluation & Refinement,3.1,3.077777778
No Agent,6,1,2,,,Full Model(llama3-3B),3.822222222,3.733333333
No Agent,7,1,3,,,mean,3.225,3.191666667
No Agent,8,3,3,,,,,
No Agent,9,1,3,,,,,
No Agent,10,1,2,,,,,
No Agent,11,2,3,,,,,
No Agent,12,3,2,,,,,
No Agent,13,3,3,,,,,
No Agent,14,3,1,,,,,
No Agent,15,3,2,,,,,
No Agent,16,2,3,,,,,
No Agent,17,1,3,,,,,
No Agent,18,1,2,,,,,
No Agent,19,1,2,,,,,
No Agent,20,1,1,,,,,
No Agent,21,1,3,,,,,
No Agent,22,3,3,,,,,
No Agent,23,2,3,,,,,
No Agent,24,1,2,,,,,
No Agent,25,3,2,,,,,
No Agent,26,2,2,,,,,
No Agent,27,1,3,,,,,
No Agent,28,3,1,,,,,
No Agent,29,1,1,,,,,
No Agent,30,1,3,,,,,
No Agent,31,1,2,,,,,
No Agent,32,2,2,,,,,
No Agent,33,2,1,,,,,
No Agent,34,2,2,,,,,
No Agent,35,3,1,,,,,
No Agent,36,3,3,,,,,
No Agent,37,1,2,,,,,
No Agent,38,3,3,,,,,
No Agent,39,2,3,,,,,
No Agent,40,3,3,,,,,
No Agent,41,1,1,,,,,
No Agent,42,1,2,,,,,
No Agent,43,2,2,,,,,
No Agent,44,3,1,,,,,
No Agent,45,1,1,,,,,
No Agent,46,2,1,,,,,
No Agent,47,1,1,,,,,
No Agent,48,1,2,,,,,
No Agent,49,2,1,,,,,
No Agent,50,3,1,,,,,
No Agent,51,2,2,,,,,
No Agent,52,3,3,,,,,
No Agent,53,3,3,,,,,
No Agent,54,3,3,,,,,
No Agent,55,3,1,,,,,
No Agent,56,2,2,,,,,
No Agent,57,2,1,,,,,
No Agent,58,1,2,,,,,
No Agent,59,2,1,,,,,
No Agent,60,2,3,,,,,
No Agent,61,2,1,,,,,
No Agent,62,3,3,,,,,
No Agent,63,2,1,,,,,
No Agent,64,1,2,,,,,
No Agent,65,2,3,,,,,
No Agent,66,3,1,,,,,
No Agent,67,2,2,,,,,
No Agent,68,2,3,,,,,
No Agent,69,3,1,,,,,
No Agent,70,1,3,,,,,
No Agent,71,2,3,,,,,
No Agent,72,1,3,,,,,
No Agent,73,2,1,,,,,
No Agent,74,3,1,,,,,
No Agent,75,2,2,,,,,
No Agent,76,3,3,,,,,
No Agent,77,3,2,,,,,
No Agent,78,1,3,,,,,
No Agent,79,3,3,,,,,
No Agent,80,2,1,,,,,
No Agent,81,3,3,,,,,
No Agent,82,2,1,,,,,
No Agent,83,2,1,,,,,
No Agent,84,1,1,,,,,
No Agent,85,3,2,,,,,
No Agent,86,2,2,,,,,
No Agent,87,3,1,,,,,
No Agent,88,3,2,,,,,
No Agent,89,1,1,,,,,
No Agent,90,1,3,,,,,
No Evaluation & Refinement,1,3,4,,,,,
No Evaluation & Refinement,2,3,3,,,,,
No Evaluation & Refinement,3,3,3,,,,,
No Evaluation & Refinement,4,4,2,,,,,
No Evaluation & Refinement,5,2,4,,,,,
No Evaluation & Refinement,6,3,2,,,,,
No Evaluation & Refinement,7,4,2,,,,,
No Evaluation & Refinement,8,3,2,,,,,
No Evaluation & Refinement,9,3,3,,,,,
No Evaluation & Refinement,10,4,3,,,,,
No Evaluation & Refinement,11,2,4,,,,,
No Evaluation & Refinement,12,3,2,,,,,
No Evaluation & Refinement,13,3,3,,,,,
No Evaluation & Refinement,14,3,2,,,,,
No Evaluation & Refinement,15,4,4,,,,,
No Evaluation & Refinement,16,4,2,,,,,
No Evaluation & Refinement,17,3,4,,,,,
No Evaluation & Refinement,18,3,4,,,,,
No Evaluation & Refinement,19,4,4,,,,,
No Evaluation & Refinement,20,2,4,,,,,
No Evaluation & Refinement,21,4,4,,,,,
No Evaluation & Refinement,22,3,4,,,,,
No Evaluation & Refinement,23,4,3,,,,,
No Evaluation & Refinement,24,4,3,,,,,
No Evaluation & Refinement,25,2,2,,,,,
No Evaluation & Refinement,26,3,2,,,,,
No Evaluation & Refinement,27,4,3,,,,,
No Evaluation & Refinement,28,2,2,,,,,
No Evaluation & Refinement,29,4,2,,,,,
No Evaluation & Refinement,30,4,4,,,,,
No Evaluation & Refinement,31,3,4,,,,,
No Evaluation & Refinement,32,4,2,,,,,
No Evaluation & Refinement,33,4,4,,,,,
No Evaluation & Refinement,34,2,3,,,,,
No Evaluation & Refinement,35,3,3,,,,,
No Evaluation & Refinement,36,2,3,,,,,
No Evaluation & Refinement,37,4,2,,,,,
No Evaluation & Refinement,38,4,4,,,,,
No Evaluation & Refinement,39,2,2,,,,,
No Evaluation & Refinement,40,4,4,,,,,
No Evaluation & Refinement,41,2,4,,,,,
No Evaluation & Refinement,42,4,3,,,,,
No Evaluation & Refinement,43,3,3,,,,,
No Evaluation & Refinement,44,3,2,,,,,
No Evaluation & Refinement,45,2,2,,,,,
No Evaluation & Refinement,46,3,4,,,,,
No Evaluation & Refinement,47,4,2,,,,,
No Evaluation & Refinement,48,3,3,,,,,
No Evaluation & Refinement,49,3,2,,,,,
No Evaluation & Refinement,50,2,4,,,,,
No Evaluation & Refinement,51,4,4,,,,,
No Evaluation & Refinement,52,3,2,,,,,
No Evaluation & Refinement,53,3,4,,,,,
No Evaluation & Refinement,54,4,2,,,,,
No Evaluation & Refinement,55,2,2,,,,,
No Evaluation & Refinement,56,4,4,,,,,
No Evaluation & Refinement,57,4,4,,,,,
No Evaluation & Refinement,58,3,2,,,,,
No Evaluation & Refinement,59,4,4,,,,,
No Evaluation & Refinement,60,2,4,,,,,
No Evaluation & Refinement,61,4,4,,,,,
No Evaluation & Refinement,62,2,2,,,,,
No Evaluation & Refinement,63,3,4,,,,,
