Model,Question Number,Question Score,Answer Score,,,2,Question Score,Answer Score
No Agent,1,2,2,,,,mean,mean
No Agent,2,2,2,,,Model,,
No Agent,3,3,1,,,Full Model,3.966666667,3.922222222
No Agent,4,3,3,,,No Agent,2.155555556,1.966666667
No Agent,5,3,1,,,No Evaluation & Refinement,3.044444444,2.955555556
No Agent,6,1,1,,,Full Model(llama3-3B),3.655555556,2.755555556
No Agent,7,3,1,,,mean,3.205555556,2.9
No Agent,8,2,1,,,,,
No Agent,9,1,2,,,,,
No Agent,10,2,2,,,,,
No Agent,11,1,3,,,,,
No Agent,12,3,2,,,,,
No Agent,13,2,1,,,,,
No Agent,14,2,2,,,,,
No Agent,15,3,1,,,,,
No Agent,16,1,2,,,,,
No Agent,17,2,2,,,,,
No Agent,18,1,3,,,,,
No Agent,19,2,1,,,,,
No Agent,20,1,1,,,,,
No Agent,21,2,3,,,,,
No Agent,22,1,3,,,,,
No Agent,23,2,1,,,,,
No Agent,24,2,2,,,,,
No Agent,25,2,1,,,,,
No Agent,26,1,2,,,,,
No Agent,27,2,3,,,,,
No Agent,28,3,3,,,,,
No Agent,29,3,3,,,,,
No Agent,30,3,2,,,,,
No Agent,31,3,3,,,,,
No Agent,32,1,3,,,,,
No Agent,33,2,2,,,,,
No Agent,34,3,2,,,,,
No Agent,35,2,1,,,,,
No Agent,36,2,3,,,,,
No Agent,37,3,2,,,,,
No Agent,38,3,1,,,,,
No Agent,39,1,2,,,,,
No Agent,40,3,2,,,,,
No Agent,41,3,2,,,,,
No Agent,42,3,2,,,,,
No Agent,43,1,1,,,,,
No Agent,44,1,2,,,,,
No Agent,45,2,3,,,,,
No Agent,46,3,1,,,,,
No Agent,47,2,2,,,,,
No Agent,48,3,1,,,,,
No Agent,49,3,3,,,,,
No Agent,50,3,1,,,,,
No Agent,51,3,2,,,,,
No Agent,52,2,3,,,,,
No Agent,53,2,1,,,,,
No Agent,54,3,3,,,,,
No Agent,55,2,3,,,,,
No Agent,56,3,1,,,,,
No Agent,57,1,2,,,,,
No Agent,58,2,2,,,,,
No Agent,59,3,3,,,,,
No Agent,60,1,3,,,,,
No Agent,61,2,3,,,,,
No Agent,62,1,1,,,,,
No Agent,63,3,1,,,,,
No Agent,64,3,3,,,,,
No Agent,65,2,2,,,,,
No Agent,66,3,3,,,,,
No Agent,67,2,2,,,,,
No Agent,68,3,1,,,,,
No Agent,69,2,2,,,,,
No Agent,70,3,2,,,,,
No Agent,71,3,1,,,,,
No Agent,72,2,1,,,,,
No Agent,73,2,3,,,,,
No Agent,74,1,3,,,,,
No Agent,75,3,2,,,,,
No Agent,76,3,1,,,,,
No Agent,77,1,1,,,,,
No Agent,78,2,1,,,,,
No Agent,79,1,1,,,,,
No Agent,80,2,3,,,,,
No Agent,81,2,2,,,,,
No Agent,82,1,1,,,,,
No Agent,83,2,2,,,,,
No Agent,84,2,1,,,,,
No Agent,85,2,2,,,,,
No Agent,86,3,1,,,,,
No Agent,87,1,3,,,,,
No Agent,88,3,3,,,,,
No Agent,89,1,3,,,,,
No Agent,90,3,3,,,,,
No Evaluation & Refinement,1,3,2,,,,,
No Evaluation & Refinement,2,4,2,,,,,
No Evaluation & Refinement,3,4,3,,,,,
No Evaluation & Refinement,4,3,2,,,,,
No Evaluation & Refinement,5,4,3,,,,,
No Evaluation & Refinement,6,3,4,,,,,
No Evaluation & Refinement,7,4,3,,,,,
No Evaluation & Refinement,8,3,3,,,,,
No Evaluation & Refinement,9,2,3,,,,,
No Evaluation & Refinement,10,2,2,,,,,
No Evaluation & Refinement,11,3,4,,,,,
No Evaluation & Refinement,12,2,4,,,,,
No Evaluation & Refinement,13,4,2,,,,,
No Evaluation & Refinement,14,4,3,,,,,
No Evaluation & Refinement,15,2,3,,,,,
No Evaluation & Refinement,16,4,4,,,,,
No Evaluation & Refinement,17,3,2,,,,,
No Evaluation & Refinement,18,3,2,,,,,
No Evaluation & Refinement,19,2,3,,,,,
No Evaluation & Refinement,20,3,3,,,,,
No Evaluation & Refinement,21,3,4,,,,,
No Evaluation & Refinement,22,2,2,,,,,
No Evaluation & Refinement,23,2,4,,,,,
No Evaluation & Refinement,24,4,3,,,,,
No Evaluation & Refinement,25,2,2,,,,,
No Evaluation & Refinement,26,4,3,,,,,
No Evaluation & Refinement,27,4,3,,,,,
No Evaluation & Refinement,28,3,4,,,,,
No Evaluation & Refinement,29,3,3,,,,,
No Evaluation & Refinement,30,3,3,,,,,
No Evaluation & Refinement,31,3,4,,,,,
No Evaluation & Refinement,32,2,3,,,,,
No Evaluation & Refinement,33,3,4,,,,,
No Evaluation & Refinement,34,4,2,,,,,
No Evaluation & Refinement,35,2,3,,,,,
No Evaluation & Refinement,36,4,4,,,,,
No Evaluation & Refinement,37,4,2,,,,,
No Evaluation & Refinement,38,4,3,,,,,
No Evaluation & Refinement,39,3,3,,,,,
No Evaluation & Refinement,40,2,3,,,,,
No Evaluation & Refinement,41,3,4,,,,,
No Evaluation & Refinement,42,3,4,,,,,
No Evaluation & Refinement,43,3,3,,,,,
No Evaluation & Refinement,44,2,4,,,,,
No Evaluation & Refinement,45,3,3,,,,,
No Evaluation & Refinement,46,3,2,,,,,
No Evaluation & Refinement,47,2,2,,,,,
No Evaluation & Refinement,48,2,2,,,,,
No Evaluation & Refinement,49,2,3,,,,,
